id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents,class
578,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
579,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,x<0.0,NO
580,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,0<x<24,x<0.0,YES
581,x<0.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
582,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
583,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
584,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,x<0,x<0.0,NO
585,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,0.0<x<5.0,NO
586,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
587,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
588,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,x<0.0,YES
589,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
590,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
591,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
592,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
593,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
594,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,0<x<24,x<0.0,NO
595,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,0.0<x<5.0,NO
596,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
597,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
598,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,5.0<x<10.0,NO
599,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,x<0.0,NO
600,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
601,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,0<x<14,x<0,13<x<27,x<0,5.0<x<10.0,NO
602,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
603,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,x<0,x<0,0.0<x<5.0,NO
604,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,x<0.0,NO
605,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,x>43,x<0,13<x<27,x<0,x<0.0,NO
606,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,0.0<x<5.0,NO
607,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
608,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
609,0.0<x<12677.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
610,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
611,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,5.0<x<10.0,NO
612,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
613,x<0.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,x<0.0,NO
614,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
615,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,x<0,x<0.0,NO
616,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
617,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
618,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
619,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
620,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,x<0.0,NO
621,x<0.0,x>77,x<0,x<0.0,x<0.0,x<0,x<0,0<x<13,0<x<24,x<0.0,NO
622,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
623,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,x<0.0,NO
624,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,x<0.0,YES
625,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
626,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
627,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,x<0.0,NO
628,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
629,x<0.0,x>77,x<0,x<0.0,x<0.0,14<x<29,x<0,0<x<13,x<0,x<0.0,NO
630,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
631,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
632,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,x<0.0,NO
633,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
634,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
635,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
636,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
637,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x>43,x<0,x<0,0<x<24,x<0.0,NO
638,x<0.0,25<x<51,x<0,x<0.0,x<0.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
639,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,0.0<x<5.0,NO
640,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
641,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,x<0.0,NO
642,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
643,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,x<0.0,YES
644,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,14<x<29,0<x<24,0<x<13,x<0,x<0.0,NO
645,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
646,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
647,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
648,0.0<x<12677.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,5.0<x<10.0,NO
649,x<0.0,x>77,0<x<24,x<0.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
650,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,x<0,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
651,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
652,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,x<0.0,NO
653,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,x<0.0,NO
654,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
655,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,0<x<13,0<x<24,x<0.0,NO
656,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x<0,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
657,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
658,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,x<0.0,NO
659,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
660,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
661,x<0.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
662,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
663,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
664,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,13<x<27,x<0,x<0.0,NO
665,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
666,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,x<0,x<0,5.0<x<10.0,NO
667,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
668,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
669,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
670,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,5.0<x<10.0,NO
671,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
672,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
673,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,x<0,x<0,x<0.0,NO
674,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,x<0.0,NO
675,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x<0,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
676,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,0.0<x<5.0,NO
677,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,x<0.0,NO
678,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,14<x<29,x<0,13<x<27,x<0,0.0<x<5.0,NO
679,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
680,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
681,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
682,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,x<0,x<0,0<x<13,x<0,0.0<x<5.0,NO
683,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,x<0,x<0,x<0.0,NO
684,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,0<x<24,x<0.0,NO
685,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
686,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
687,x<0.0,25<x<51,x<0,x<0.0,x<0.0,29<x<43,x<0,13<x<27,x<0,x<0.0,NO
688,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
689,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
690,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
691,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
692,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
693,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
694,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
695,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,x<0.0,YES
696,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
697,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
698,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
699,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,0<x<24,x<0.0,NO
700,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,NO
701,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
702,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,0<x<24,5.0<x<10.0,YES
703,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,x<0.0,NO
704,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,29<x<43,x<0,13<x<27,x<0,0.0<x<5.0,NO
705,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,NO
706,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
707,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
708,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
709,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
710,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
711,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
712,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,x<0.0,NO
713,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
714,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,x<0.0,NO
715,x<0.0,x>77,0<x<24,x<0.0,x<0.0,x>43,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
716,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
717,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,5.0<x<10.0,YES
718,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,5.0<x<10.0,NO
719,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
720,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
721,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
722,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,14<x<29,0<x<24,x<0,x<0,0.0<x<5.0,NO
723,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
724,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x>43,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
725,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,YES
726,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,0.0<x<5.0,NO
727,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
728,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,14<x<29,x<0,0<x<13,x<0,0.0<x<5.0,NO
729,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
730,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
731,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
732,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,x<0,x<0,5.0<x<10.0,NO
733,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,0<x<24,x<0.0,YES
734,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,x<0,x<0,0<x<13,0<x<24,x<0.0,NO
735,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,x<0,5.0<x<10.0,NO
736,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
737,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,0<x<24,x<0.0,NO
738,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,x<0.0,NO
739,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,0.0<x<5.0,NO
740,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
741,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
742,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
743,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,0<x<14,x<0,x<0,x<0,x<0.0,NO
744,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
745,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
746,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,x<0,0<x<24,13<x<27,0<x<24,x<0.0,NO
747,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,x<0,0<x<24,5.0<x<10.0,NO
748,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
749,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,x<0.0,NO
750,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,x<0,x<0.0,NO
751,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
752,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,x<0.0,NO
753,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,NO
754,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
755,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,0.0<x<5.0,NO
756,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
757,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
758,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,x<0,x<0.0,NO
759,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
760,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
761,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,5.0<x<10.0,NO
762,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,x<0.0,YES
763,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,YES
764,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
765,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
766,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,0<x<24,0.0<x<5.0,YES
767,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,0.0<x<5.0,NO
768,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,x<0,0<x<24,5.0<x<10.0,NO
769,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,5.0<x<10.0,NO
770,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,x<0.0,NO
